system:index,bio04,bio12,elevation_ee,soil_ph,.geo,dist_to_river_km,site_probability
29938_0,540.7656,1906.5938,322,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.58083616377813,-11.105385227652164]}",7.5,1.0
2_0,488.53125,1925.5469,244,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.01814061836936,-10.835890642416302]}",7.5,1.0
29884_0,723.8125,2035.8281,317,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.15538489665542,-11.0155536992402]}",7.5,1.0
29969_0,572.5625,1887.4375,227,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.58270140857414,-7.601955619586022]}",7.5,1.0
29848_0,544.3125,2060.0312,124,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.30634760720602,-8.500270903705541]}",7.5,1.0
29952_0,556.90625,2051.2031,119,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.30634760720602,-8.59010243211749]}",7.5,1.0
4968_0,535.21875,2068.1719,143,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.21651607879406,-8.410439375293592]}",7.5,1.0
4962_0,600.0781,1999.625,316,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.59455459604267,-8.14094479005773]}",7.5,1.0
4958_0,487.89062,2238.2969,210,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.25893485733191,-7.33246103435016]}",7.5,1.0
14534_0,505.98438,1881.7969,149,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.27578201613669,-10.296901471944594]}",7.5,1.0
14488_0,461.10938,2253.9844,118,42,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-56.52656419777176,-5.086672824051362]}",7.5,1.0
14478_0,583.53125,1888.5625,219,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.7860708403351,-8.59010243211749]}",7.5,1.0
14473_0,693.5,2004.2812,233,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.64196734591677,-9.308754659413111]}",7.5,1.0
14472_0,532.3281,1822.0469,133,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-65.50971703896697,-9.039260074177264]}",7.5,1.0
14465_0,734.2656,1870.5625,223,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.37247276068092,-9.668080773060922]}",7.5,1.0
4993_0,490.78125,2203.5312,149,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.49286988016219,-6.434145750230641]}",7.5,1.0
4983_0,490.45312,2091.875,141,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.13167852171837,-9.218923131001162]}",7.5,1.0
29732_0,501.625,1932.5781,248,42,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.76049922060203,-10.296901471944594]}",7.5,1.0
29729_0,570.96875,1931.6875,237,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.40303835175024,-7.601955619586022]}",7.5,1.0
133_0,489.1875,2281.2188,142,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-61.55712978884108,-8.769765488941403]}",7.5,1.0
125_0,735.7031,1822.1094,177,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-66.85718996514625,-10.386733000356543]}",7.5,1.0
124_0,512.25,2236.6094,159,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-67.66567372085382,-8.051113261645781]}",7.5,1.0
29821_0,504.96875,2061.8594,148,39,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-66.7673584367343,-8.410439375293592]}",7.5,1.0
29817_0,678.1875,1847.4531,248,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.23336323759885,-11.105385227652164]}",7.5,1.0
111_0,483.65625,2144.1875,132,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.13167852171837,-8.9494285457653]}",7.5,1.0
152_0,480.39062,2311.8125,210,42,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.78420559553909,-8.679933960529453]}",7.5,1.0
142_0,499.32812,2139.2969,259,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.41302629442275,-9.129091602589213]}",7.5,1.0
7516_0,564.2656,1874.5938,305,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.22151005013032,-10.835890642416302]}",7.5,1.0
7514_0,475.96875,2161.9062,140,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-66.7673584367343,-8.14094479005773]}",7.5,1.0
7449_0,473.375,2067.9531,155,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.94016227742594,-9.39858618782506]}",7.5,1.0
7284_0,536.65625,1917.6875,290,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.31134157854227,-10.476564528768492]}",7.5,1.0
7436_0,551.2656,2080.5625,226,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.79792402780362,-7.601955619586022]}",7.5,1.0
7430_0,720.2969,1930.9688,275,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.89774349888809,-10.925722170828251]}",7.5,1.0
29772_0,559.3594,1960.0781,272,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.69623931192315,-9.488417716237024]}",7.5,1.0
29770_0,513.46875,2208.7188,199,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.22337529492633,-6.703640335466503]}",7.5,1.0
29741_0,536.65625,1917.6875,290,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.31134157854227,-10.476564528768492]}",7.5,1.0
14754_0,517.9219,2160.2969,149,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.90460271502036,-10.117238415120681]}",7.5,1.0
14741_0,555.0781,2326.8438,193,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.82163040274068,-8.230776318469694]}",7.5,1.0
14730_0,704.375,1968.6562,173,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.11483136291358,-9.39858618782506]}",7.5,1.0
14686_0,586.875,1903.625,156,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-66.67752690832235,-9.308754659413111]}",7.5,1.0
14679_0,575.4375,2003.4062,128,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.34190716961159,-9.75791230147287]}",7.5,1.0
14666_0,616.71875,2100.1719,237,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.09112498797653,-8.9494285457653]}",7.5,1.0
4935_0,560.9531,2079.8906,289,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.31320682333828,-7.33246103435016]}",7.5,1.0
4931_0,560.9844,1960.6719,114,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-64.7012332832594,-9.129091602589213]}",7.5,1.0
14872_0,465.04688,2267.2656,253,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-54.99942821476857,-6.883303392290401]}",7.5,1.0
29574_0,630.9531,2112.3125,243,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.00129345956458,-8.9494285457653]}",7.5,1.0
29569_0,565.3906,2145.75,225,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.45045110162434,-8.500270903705541]}",7.5,1.0
29559_0,510.64062,2317.0312,179,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.86404918127852,-6.52397727864259]}",7.5,1.0
29554_0,746.90625,1856.1719,234,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-69.37247276068092,-9.75791230147287]}",7.5,1.0
192_0,565.0,1825.8438,305,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.04184699330642,-10.835890642416302]}",7.5,1.0
